0,0,0,0,3.52354,1.96964e-05,-2.79048e-05,-4.5432e-05,0.319603,-0.000139212,-1.24857e-05,1.76821e-05,2.87424e-05,0.294086,8.76475e-05,298,1.01799e-09,0.327264,7e-05,0.000117097,0.5,0.5,176471,120000,0.0256523,1e-13,2.99952e-13,0.0178241,6.68763e-19,0.0102021,1.85988
100,0.985,3.4475,12.0477,3.50953,1.96902e-05,-2.7896e-05,-4.54176e-05,0.319556,-0.000139168,-1.36427e-05,1.93218e-05,3.14201e-05,0.292456,9.59253e-05,298,3.76198e-09,63.5463,7e-05,0.000117097,0.5,0.5,176471,120000,1.0446,1e-13,2.74428e-13,0.0178241,9.50327e-17,0.0102077,1.85988
200,0.98,3.43,11.9938,3.48868,1.96904e-05,-2.78963e-05,-4.54181e-05,0.319491,-0.000139169,-1.4882e-05,2.1079e-05,3.42917e-05,0.290202,0.000104822,298,6.38946e-09,151,7e-05,0.000117097,0.5,0.5,176471,120000,2.15207,1e-13,2.51577e-13,0.0178241,1.84391e-16,0.010213,1.85988
300,0.973333,3.40667,11.9222,3.46228,1.96761e-05,-2.78759e-05,-4.53791e-05,0.31942,-0.000139027,-1.6169e-05,2.29046e-05,3.72732e-05,0.287343,0.000114064,298,8.87841e-09,261.508,7e-05,0.000117097,0.5,0.5,176471,120000,3.35138,1e-13,2.31385e-13,0.0178241,2.67827e-16,0.0102181,1.85988
400,0.965556,3.37944,11.8376,3.43123,1.96701e-05,-2.78674e-05,-4.53648e-05,0.319342,-0.000138969,-1.74871e-05,2.47751e-05,4.03334e-05,0.283925,0.00012358,298,1.12163e-08,393.4,7e-05,0.000117097,0.5,0.5,176471,120000,4.6433,1e-13,2.1388e-13,0.0178241,3.44817e-16,0.0102229,1.85988
500,0.956667,3.34833,11.7426,3.39673,1.96743e-05,-2.78687e-05,-4.53516e-05,0.319257,-0.000138912,-1.87746e-05,2.65978e-05,4.33037e-05,0.279965,0.000132838,298,1.34183e-08,546.058,7e-05,0.000117097,0.5,0.5,176471,120000,6.02604,1e-13,1.99255e-13,0.0178241,4.16172e-16,0.0102273,1.85988
600,0.946667,3.31333,11.6358,3.35773,1.97031e-05,-2.79141e-05,-4.54409e-05,0.319149,-0.000139193,-1.98553e-05,2.81384e-05,4.5841e-05,0.275461,0.000140772,298,1.55124e-08,720.042,7e-05,0.000117097,0.5,0.5,176471,120000,7.4894,1e-13,1.88685e-13,0.0178241,4.83298e-16,0.0102316,1.85988
700,0.935,3.2725,11.5115,3.31037,1.97072e-05,-2.79199e-05,-4.54507e-05,0.319043,-0.000139246,-2.0407e-05,2.89224e-05,4.71269e-05,0.270362,0.000144824,298,1.75277e-08,916.524,7e-05,0.000117097,0.5,0.5,176471,120000,9.00532,1e-13,1.83623e-13,0.0178241,5.47743e-16,0.0102357,1.85988
800,0.921111,3.22389,11.3567,3.25448,1.97155e-05,-2.79319e-05,-4.54761e-05,0.318929,-0.00013934,-2.04354e-05,2.89633e-05,4.7201e-05,0.264729,0.000145066,298,1.94609e-08,1133.39,7e-05,0.000117097,0.5,0.5,176471,120000,10.5272,1e-13,1.83445e-13,0.0178241,6.09427e-16,0.0102396,1.85988
900,0.905,3.1675,11.1778,3.19252,1.97156e-05,-2.79272e-05,-4.54467e-05,0.318823,-0.000139192,-2.04354e-05,2.89557e-05,4.71662e-05,0.258603,0.000144908,298,2.13162e-08,1368.65,7e-05,0.000117097,0.5,0.5,176471,120000,12.0358,1e-13,1.83445e-13,0.0178241,6.6865e-16,0.0102434,1.85988
